Time,Temperature,Humidity
7:00 PM,30°C,58 %
7:30 PM,30°C,58 %
8:00 PM,30°C,58 %
8:30 PM,30°C,58 %
9:00 PM,28.9°C,58 %
9:30 PM,28.9°C,58 %
10:00 PM,28.9°C,58 %
10:30 PM,28.9°C,59 %
11:00 PM,28.9°C,59 %
12:30 AM,28.9°C,59 %
1:00 AM,27.8°C,59 %
1:30 AM,27.8°C,59 %
2:00 AM,28.9°C,59 %
2:30 AM,28.9°C,59 %
3:00 AM,30°C,59 %
3:30 AM,30°C,59 %
4:00 AM,31.1°C,59 %
4:30 AM,32.2°C,59 %
5:00 AM,32.8°C,59 %
5:30 AM,33.9°C,59 %
6:00 AM,33.9°C,59 %
5:30 AM,33.9°C,59 %
6:00 AM,35°C,59 %
6:30 AM,35°C,59 %
7:00 AM,35°C,59 %
7:30 AM,35°C,59 %
8:00 AM,35°C,59 %
8:30 AM,35°C,59 %
9:00 AM,35°C,59 %
9:30 AM,33.9°C,59 %
10:00 AM,33.9°C,59 %
10:30 AM,33.9°C,59 %
11:00 AM,32.8°C,59 %
11:30 AM,32.8°C,59 %
12:00 PM,32.2°C,59 %
12:30 PM,31.1°C,59 %
1:00 PM,31.1°C,59 %
